,name,ensg,type
48137,CIAPIN1,ENSG00000005194,protein_coding
54910,SPPL2B,ENSG00000005206,protein_coding
29995,FAM214B,ENSG00000005238,protein_coding
50949,COPZ2,ENSG00000005243,protein_coding
23552,PRKAR2B,ENSG00000005249,protein_coding
24688,MSL3,ENSG00000005302,protein_coding
46774,CREBBP,ENSG00000005339,protein_coding
51222,TSPOAP1,ENSG00000005379,protein_coding
51221,MPO,ENSG00000005381,protein_coding
23229,PON1,ENSG00000005421,protein_coding
6785,GCFC2,ENSG00000005436,protein_coding
6740,WDR54,ENSG00000005448,protein_coding
23112,CROT,ENSG00000005469,protein_coding
23113,ABCB4,ENSG00000005471,protein_coding
23519,KMT2E,ENSG00000005483,protein_coding
22970,RHBDD2,ENSG00000005486,protein_coding
46523,SOX8,ENSG00000005513,protein_coding
20246,IBTK,ENSG00000005700,protein_coding
31974,ZNF195,ENSG00000005801,protein_coding
41458,MYCBP2,ENSG00000005810,protein_coding
41455,FBXL3,ENSG00000005812,protein_coding
47525,ITGAL,ENSG00000005844,protein_coding
51058,PDK2,ENSG00000005882,protein_coding
51056,ITGA3,ENSG00000005884,protein_coding
24855,ZFX,ENSG00000005889,protein_coding
26308,LAMP2,ENSG00000005893,protein_coding
50802,ITGA2B,ENSG00000005961,protein_coding
23236,ASB4,ENSG00000005981,protein_coding
47162,GDE1,ENSG00000006007,protein_coding
55793,REX1BD,ENSG00000006015,protein_coding
55792,CRLF1,ENSG00000006016,protein_coding
50932,AC003665.1,ENSG00000006025,protein_coding
50232,TMEM98,ENSG00000006042,protein_coding
49310,YBX2,ENSG00000006047,protein_coding
50599,KRT33A,ENSG00000006059,protein_coding
50849,MAP3K14,ENSG00000006062,protein_coding
32409,ABCC8,ENSG00000006071,protein_coding
47299,CACNG3,ENSG00000006116,protein_coding
33279,TMEM132A,ENSG00000006118,protein_coding
50321,AP2B1,ENSG00000006125,protein_coding
23263,TAC1,ENSG00000006128,protein_coding
46743,ZNF263,ENSG00000006194,protein_coding
48135,CX3CL1,ENSG00000006210,protein_coding
51090,SPATA20,ENSG00000006282,protein_coding
51092,CACNA1G,ENSG00000006283,protein_coding
46718,TNFRSF12A,ENSG00000006327,protein_coding
23255,DLX6,ENSG00000006377,protein_coding
43181,MAP3K9,ENSG00000006432,protein_coding
22252,RALA,ENSG00000006451,protein_coding
23285,BAIAP2L1,ENSG00000006453,protein_coding
24061,KDM7A,ENSG00000006459,protein_coding
21796,ETV1,ENSG00000006468,protein_coding
24095,AGK,ENSG00000006530,protein_coding
33719,ALDH3B1,ENSG00000006534,protein_coding
1738,TTC22,ENSG00000006555,protein_coding
23032,PHTF2,ENSG00000006576,protein_coding
22967,CCL26,ENSG00000006606,protein_coding
9631,FARP2,ENSG00000006607,protein_coding
32412,USH1C,ENSG00000006611,protein_coding
22082,GGCT,ENSG00000006625,protein_coding
23118,DBF4,ENSG00000006634,protein_coding
54974,TBXA2R,ENSG00000006638,protein_coding
23612,IFRD1,ENSG00000006652,protein_coding
56499,LGALS14,ENSG00000006659,protein_coding
49516,COX10,ENSG00000006695,protein_coding
22923,GTF2IRD1,ENSG00000006704,protein_coding
56471,PAF1,ENSG00000006712,protein_coding
22241,VPS41,ENSG00000006715,protein_coding
49501,ARHGAP44,ENSG00000006740,protein_coding
49506,ELAC2,ENSG00000006744,protein_coding
21785,SCIN,ENSG00000006747,protein_coding
24596,ARSD,ENSG00000006756,protein_coding
24635,PNPLA4,ENSG00000006757,protein_coding
49453,MYH13,ENSG00000006788,protein_coding
37518,ADIPOR2,ENSG00000006831,protein_coding
17442,CDKL3,ENSG00000006837,protein_coding
8195,UPP2,ENSG00000007001,protein_coding
46698,PRSS21,ENSG00000007038,protein_coding
56779,MARK4,ENSG00000007047,protein_coding
13216,PROM1,ENSG00000007062,protein_coding
55749,CCDC124,ENSG00000007080,protein_coding
56599,CEACAM21,ENSG00000007129,protein_coding
49097,PAFAH1B1,ENSG00000007168,protein_coding
49956,NOS2,ENSG00000007171,protein_coding
49485,DNAH9,ENSG00000007174,protein_coding
50011,KIAA0100,ENSG00000007202,protein_coding
50000,SLC13A2,ENSG00000007216,protein_coding
49450,AC005747.1,ENSG00000007237,protein_coding
56784,TRAPPC6A,ENSG00000007255,protein_coding
54986,MATK,ENSG00000007264,protein_coding
56607,CEACAM7,ENSG00000007306,protein_coding
51421,CD79B,ENSG00000007312,protein_coding
51422,SCN4A,ENSG00000007314,protein_coding
2657,ST7L,ENSG00000007341,protein_coding
26896,TKTL1,ENSG00000007350,protein_coding
32608,PAX6,ENSG00000007372,protein_coding
46512,RPUSD1,ENSG00000007376,protein_coding
46444,RHBDF1,ENSG00000007384,protein_coding
46459,LUC7L,ENSG00000007392,protein_coding
10565,CACNA2D2,ENSG00000007402,protein_coding
46551,BAIAP3,ENSG00000007516,protein_coding
46552,TSR3,ENSG00000007520,protein_coding
46482,PIGQ,ENSG00000007541,protein_coding
46576,CRAMP1,ENSG00000007545,protein_coding
19545,TEAD3,ENSG00000007866,protein_coding
3876,SELE,ENSG00000007908,protein_coding
259,DNAJC11,ENSG00000007923,protein_coding
3902,FMO3,ENSG00000007933,protein_coding
18775,MYLIP,ENSG00000007944,protein_coding
25945,NOX1,ENSG00000007952,protein_coding
760,E2F2,ENSG00000007968,protein_coding
21533,PSMB1,ENSG00000008018,protein_coding
25160,SYN1,ENSG00000008056,protein_coding
18764,JARID2,ENSG00000008083,protein_coding
24787,CDKL5,ENSG00000008086,protein_coding
4609,CAMK1G,ENSG00000008118,protein_coding
134,CDK11A,ENSG00000008128,protein_coding
138,NADK,ENSG00000008130,protein_coding
19885,TFAP2B,ENSG00000008196,protein_coding
19884,TFAP2D,ENSG00000008197,protein_coding
10175,DLEC1,ENSG00000008226,protein_coding
21690,CYTH3,ENSG00000008256,protein_coding
23119,ADAM22,ENSG00000008277,protein_coding
23538,SYPL1,ENSG00000008282,protein_coding
51390,CYB561,ENSG00000008283,protein_coding
51113,SPAG9,ENSG00000008294,protein_coding
10462,CELSR3,ENSG00000008300,protein_coding
23728,AASS,ENSG00000008311,protein_coding
37629,PLEKHG6,ENSG00000008323,protein_coding
10273,SS18L2,ENSG00000008324,protein_coding
55012,MPND,ENSG00000008382,protein_coding
38023,MGST1,ENSG00000008394,protein_coding
39814,CRY1,ENSG00000008405,protein_coding
56829,PGLYRP1,ENSG00000008438,protein_coding
55496,NFIX,ENSG00000008441,protein_coding
29201,ST3GAL1,ENSG00000008513,protein_coding
46724,MMP25,ENSG00000008516,protein_coding
46725,IL32,ENSG00000008517,protein_coding
46622,PKD1,ENSG00000008710,protein_coding
59637,MAPK8IP2,ENSG00000008735,protein_coding
50504,MED24,ENSG00000008838,protein_coding
27506,RHOBTB2,ENSG00000008853,protein_coding
6074,HEATR5B,ENSG00000008869,protein_coding
12283,SEC62,ENSG00000008952,protein_coding
28079,RPS20,ENSG00000008988,protein_coding
2712,CSDE1,ENSG00000009307,protein_coding
24527,UBE3C,ENSG00000009335,protein_coding
20622,REV3L,ENSG00000009413,protein_coding
26381,TENM1,ENSG00000009694,protein_coding
618,PAX7,ENSG00000009709,protein_coding
374,MASP2,ENSG00000009724,protein_coding
21194,IYD,ENSG00000009765,protein_coding
929,FAM76A,ENSG00000009780,protein_coding
4616,TRAF3IP3,ENSG00000009790,protein_coding
43371,POMT2,ENSG00000009830,protein_coding
21054,VTA1,ENSG00000009844,protein_coding
22899,MLXIPL,ENSG00000009950,protein_coding
22895,BAZ1B,ENSG00000009954,protein_coding
18742,RANBP9,ENSG00000010017,protein_coding
19571,ETV7,ENSG00000010030,protein_coding
5068,SPRTN,ENSG00000010072,protein_coding
3926,EEF1AKNMT,ENSG00000010165,protein_coding
37594,DYRK4,ENSG00000010219,protein_coding
50210,ZNF207,ENSG00000010244,protein_coding
10458,UQCRC1,ENSG00000010256,protein_coding
22212,STARD3NL,ENSG00000010270,protein_coding
37626,CD9,ENSG00000010278,protein_coding
10281,HHATL,ENSG00000010282,protein_coding
37644,NCAPD2,ENSG00000010292,protein_coding
37650,IFFO1,ENSG00000010295,protein_coding
56805,GIPR,ENSG00000010310,protein_coding
10630,PHF7,ENSG00000010318,protein_coding
10631,SEMA3G,ENSG00000010319,protein_coding
10633,NISCH,ENSG00000010322,protein_coding
10634,STAB1,ENSG00000010327,protein_coding
57060,FUZ,ENSG00000010361,protein_coding
37493,SLC6A13,ENSG00000010379,protein_coding
26745,IDS,ENSG00000010404,protein_coding
29925,PRSS3,ENSG00000010438,protein_coding
46740,ZNF200,ENSG00000010539,protein_coding
37671,CD4,ENSG00000010610,protein_coding
37680,LRRC23,ENSG00000010626,protein_coding
25963,BTK,ENSG00000010671,protein_coding
18937,HFE,ENSG00000010704,protein_coding
1334,SCMH1,ENSG00000010803,protein_coding
20633,FYN,ENSG00000010810,protein_coding
21060,HIVEP2,ENSG00000010818,protein_coding
3908,FMO1,ENSG00000010932,protein_coding
768,ELOA,ENSG00000011007,protein_coding
770,LYPLA2,ENSG00000011009,protein_coding
403,CLCN6,ENSG00000011021,protein_coding
51365,AC080038.1,ENSG00000011028,protein_coding
51116,NME1-NME2,ENSG00000011052,protein_coding
17890,SLC6A7,ENSG00000011083,protein_coding
37562,TSPAN9,ENSG00000011105,protein_coding
43580,BTBD7,ENSG00000011114,protein_coding
54980,AC005954.1,ENSG00000011132,protein_coding
51217,MKS1,ENSG00000011143,protein_coding
10309,ABHD5,ENSG00000011198,protein_coding
24641,ANOS1,ENSG00000011201,protein_coding
55602,AKAP8L,ENSG00000011243,protein_coding
51118,MBTD1,ENSG00000011258,protein_coding
51121,UTP18,ENSG00000011260,protein_coding
21672,RNF216,ENSG00000011275,protein_coding
49577,TTC19,ENSG00000011295,protein_coding
54802,PTBP1,ENSG00000011304,protein_coding
56404,DPF1,ENSG00000011332,protein_coding
33307,SYT7,ENSG00000011347,protein_coding
10352,LARS2,ENSG00000011376,protein_coding
32399,PIK3C2A,ENSG00000011405,protein_coding
56696,PLAUR,ENSG00000011422,protein_coding
22188,ANLN,ENSG00000011426,protein_coding
55605,WIZ,ENSG00000011451,protein_coding
31291,RABGAP1,ENSG00000011454,protein_coding
39510,DCN,ENSG00000011465,protein_coding
56809,QPCTL,ENSG00000011478,protein_coding
56849,PPP5C,ENSG00000011485,protein_coding
6536,CEP68,ENSG00000011523,protein_coding
6135,MAP4K3,ENSG00000011566,protein_coding
56283,ZBTB32,ENSG00000011590,protein_coding
56306,TYROBP,ENSG00000011600,protein_coding
47204,TMEM159,ENSG00000011638,protein_coding
26809,GABRA3,ENSG00000011677,protein_coding
50717,BRCA1,ENSG00000012048,protein_coding
56793,ERCC1,ENSG00000012061,protein_coding
56252,CD22,ENSG00000012124,protein_coding
10548,SEMA3B,ENSG00000012171,protein_coding
24823,MBTPS2,ENSG00000012174,protein_coding
25257,PRICKLE3,ENSG00000012211,protein_coding
10378,LTF,ENSG00000012223,protein_coding
27628,EXTL3,ENSG00000012232,protein_coding
39689,NR1H4,ENSG00000012504,protein_coding
19936,ELOVL5,ENSG00000012660,protein_coding
35928,ALOX5,ENSG00000012779,protein_coding
58046,KDM5D,ENSG00000012817,protein_coding
38786,CALCOCO1,ENSG00000012822,protein_coding
43578,UBR7,ENSG00000012963,protein_coding
42755,MAP4K5,ENSG00000012983,protein_coding
6003,EHD3,ENSG00000013016,protein_coding
56509,PSMC4,ENSG00000013275,protein_coding
13023,MAN2B2,ENSG00000013288,protein_coding
12299,SLC7A14,ENSG00000013293,protein_coding
12295,CLDN11,ENSG00000013297,protein_coding
50797,SLC25A39,ENSG00000013306,protein_coding
47471,MVP,ENSG00000013364,protein_coding
24428,NUB1,ENSG00000013374,protein_coding
20255,PGM3,ENSG00000013375,protein_coding
20256,RWDD2A,ENSG00000013392,protein_coding
8801,CLK1,ENSG00000013441,protein_coding
39802,POLR3B,ENSG00000013503,protein_coding
43346,ANGEL1,ENSG00000013523,protein_coding
17746,RNF14,ENSG00000013561,protein_coding
26904,DNASE1L1,ENSG00000013563,protein_coding
38250,DDX11,ENSG00000013573,protein_coding
37965,HEBP1,ENSG00000013583,protein_coding
37959,GPRC5A,ENSG00000013588,protein_coding
26774,MAMLD1,ENSG00000013619,protein_coding
33281,CD6,ENSG00000013725,protein_coding
12919,TACC3,ENSG00000013810,protein_coding
20422,UFL1,ENSG00000014123,protein_coding
33532,POLA2,ENSG00000014138,protein_coding
29348,ZC3H3,ENSG00000014164,protein_coding
33529,CAPN1,ENSG00000014216,protein_coding
11709,ACPP,ENSG00000014257,protein_coding
6495,MDH1,ENSG00000014641,protein_coding
13495,SLC30A9,ENSG00000014824,protein_coding
3104,MTMR11,ENSG00000014914,protein_coding
36886,COX15,ENSG00000014919,protein_coding
43542,CCDC88C,ENSG00000015133,protein_coding
38388,YAF2,ENSG00000015153,protein_coding
35154,ZMYND11,ENSG00000015171,protein_coding
25225,WAS,ENSG00000015285,protein_coding
48959,DPEP1,ENSG00000015413,protein_coding
58373,BID,ENSG00000015475,protein_coding
17571,MATR3,ENSG00000015479,protein_coding
22336,NPC1L1,ENSG00000015520,protein_coding
51074,XYLT2,ENSG00000015532,protein_coding
7462,RGPD5,ENSG00000015568,protein_coding
27586,STMN4,ENSG00000015592,protein_coding
22332,NUDCD3,ENSG00000015676,protein_coding
16228,ISL1,ENSG00000016082,protein_coding
10679,CHDH,ENSG00000016391,protein_coding
20989,IL20RA,ENSG00000016402,protein_coding
2185,CLCA1,ENSG00000016490,protein_coding
2186,CLCA4,ENSG00000016602,protein_coding
10647,GLT8D1,ENSG00000016864,protein_coding
11686,ATP2C1,ENSG00000017260,protein_coding
39737,IGF1,ENSG00000017427,protein_coding
25210,SLC38A5,ENSG00000017483,protein_coding
52240,RALBP1,ENSG00000017797,protein_coding
13898,RUFY3,ENSG00000018189,protein_coding
38374,CNTN1,ENSG00000018236,protein_coding
9144,SLC11A1,ENSG00000018280,protein_coding
11981,WWTR1,ENSG00000018408,protein_coding
8509,AGPS,ENSG00000018510,protein_coding
26278,CXorf56,ENSG00000018610,protein_coding
3623,ATP1A2,ENSG00000018625,protein_coding
6032,TTC27,ENSG00000018699,protein_coding
57578,ZNF582,ENSG00000018869,protein_coding
34962,VSIG2,ENSG00000019102,protein_coding
34761,PHLDB1,ENSG00000019144,protein_coding
7640,MARCO,ENSG00000019169,protein_coding
54480,CYP24A1,ENSG00000019186,protein_coding
32791,PRDM11,ENSG00000019485,protein_coding
32793,SYT13,ENSG00000019505,protein_coding
27989,SNAI2,ENSG00000019549,protein_coding
17894,CD74,ENSG00000019582,protein_coding
23073,HGF,ENSG00000019991,protein_coding
37322,ZRANB1,ENSG00000019995,protein_coding
1154,NCDN,ENSG00000020129,protein_coding
27776,ADGRA2,ENSG00000020181,protein_coding
54448,ZFP64,ENSG00000020256,protein_coding
42970,MNAT1,ENSG00000020426,protein_coding
42845,SAMD4A,ENSG00000020577,protein_coding
802,RUNX3,ENSG00000020633,protein_coding
34337,MRE11,ENSG00000020922,protein_coding
33903,PLEKHB1,ENSG00000021300,protein_coding
18533,SERPINB1,ENSG00000021355,protein_coding
23328,CYP3A43,ENSG00000021461,protein_coding
56153,SLC7A9,ENSG00000021488,protein_coding
6016,SPAST,ENSG00000021574,protein_coding
43393,NRXN3,ENSG00000021645,protein_coding
31963,OSBPL5,ENSG00000021762,protein_coding
44736,AQR,ENSG00000021776,protein_coding
9033,CPS1,ENSG00000021826,protein_coding
1776,C8B,ENSG00000021852,protein_coding
26577,FHL1,ENSG00000022267,protein_coding
54502,RTF2,ENSG00000022277,protein_coding
18078,GABRA1,ENSG00000022355,protein_coding
57476,NLRP2,ENSG00000022556,protein_coding
29274,SLC45A4,ENSG00000022567,protein_coding
40133,RNF10,ENSG00000022840,protein_coding
43889,ZNF839,ENSG00000022976,protein_coding
37112,ZDHHC6,ENSG00000023041,protein_coding
34899,GRAMD1B,ENSG00000023171,protein_coding
31828,RNH1,ENSG00000023191,protein_coding
8932,NDUFS1,ENSG00000023228,protein_coding
28024,RB1CC1,ENSG00000023287,protein_coding
30945,ERP44,ENSG00000023318,protein_coding
10615,ALAS1,ENSG00000023330,protein_coding
34423,BIRC3,ENSG00000023445,protein_coding
41018,AKAP11,ENSG00000023516,protein_coding
4265,GLRX2,ENSG00000023572,protein_coding
42989,SNAPC1,ENSG00000023608,protein_coding
38020,DERA,ENSG00000023697,protein_coding
38019,STRAP,ENSG00000023734,protein_coding
36887,ABCC2,ENSG00000023839,protein_coding
19539,DEF6,ENSG00000023892,protein_coding
3109,PLEKHO1,ENSG00000023902,protein_coding
2326,GCLM,ENSG00000023909,protein_coding
19716,UBR2,ENSG00000024048,protein_coding
56910,EHD2,ENSG00000024422,protein_coding
1956,DEPDC1,ENSG00000024526,protein_coding
21018,CCDC28A,ENSG00000024862,protein_coding
20360,RRAGD,ENSG00000025039,protein_coding
20765,HSF2,ENSG00000025156,protein_coding
54045,PHF20,ENSG00000025293,protein_coding
38971,HSD17B6,ENSG00000025423,protein_coding
32858,NR1H3,ENSG00000025434,protein_coding
59626,TYMP,ENSG00000025708,protein_coding
59623,NCAPH2,ENSG00000025770,protein_coding
54241,TOMM34,ENSG00000025772,protein_coding
20533,SEC63,ENSG00000025796,protein_coding
1056,KPNA6,ENSG00000025800,protein_coding
35448,VIM,ENSG00000026025,protein_coding
54705,RTEL1-TNFRSF6B,ENSG00000026036,protein_coding
36662,FAS,ENSG00000026103,protein_coding
21447,RNASET2,ENSG00000026297,protein_coding
32681,CD44,ENSG00000026508,protein_coding
54437,KCNG1,ENSG00000026559,protein_coding
21384,AGPAT4,ENSG00000026652,protein_coding
3647,SLAMF7,ENSG00000026751,protein_coding
18973,BTN3A1,ENSG00000026950,protein_coding
40688,MIPEP,ENSG00000027001,protein_coding
42978,PRKCH,ENSG00000027075,protein_coding
3502,INSRR,ENSG00000027644,protein_coding
20991,IFNGR1,ENSG00000027697,protein_coding
18333,B4GALT7,ENSG00000027847,protein_coding
3500,SH2D2A,ENSG00000027869,protein_coding
6396,VRK2,ENSG00000028116,protein_coding
427,TNFRSF1B,ENSG00000028137,protein_coding
39590,VEZT,ENSG00000028203,protein_coding
56627,POU2F2,ENSG00000028277,protein_coding
15536,BRD9,ENSG00000028310,protein_coding
45429,SNX1,ENSG00000028528,protein_coding
20921,TBPL1,ENSG00000028839,protein_coding
38184,ARNTL2,ENSG00000029153,protein_coding
20968,BCLAF1,ENSG00000029363,protein_coding
43145,SLC39A9,ENSG00000029364,protein_coding
27866,ANK1,ENSG00000029534,protein_coding
14164,IBSP,ENSG00000029559,protein_coding
21274,TFB1M,ENSG00000029639,protein_coding
49229,RABEP1,ENSG00000029725,protein_coding
26781,HMGB3,ENSG00000029993,protein_coding
32883,NUP160,ENSG00000030066,protein_coding
19490,BAK1,ENSG00000030110,protein_coding
31093,MUSK,ENSG00000030304,protein_coding
9049,IKZF2,ENSG00000030419,protein_coding
50799,GRN,ENSG00000030582,protein_coding
17531,FAM13B,ENSG00000031003,protein_coding
11388,ARHGAP31,ENSG00000031081,protein_coding
19863,CENPQ,ENSG00000031691,protein_coding
2540,SARS,ENSG00000031698,protein_coding
55080,RANBP3,ENSG00000031823,protein_coding
42923,ARID4A,ENSG00000032219,protein_coding
5520,EIPR1,ENSG00000032389,protein_coding
55153,PNPLA6,ENSG00000032444,protein_coding
40617,IFT88,ENSG00000032742,protein_coding
46827,ALG1,ENSG00000033011,protein_coding
40205,ZCCHC8,ENSG00000033030,protein_coding
24422,ABCF2,ENSG00000033050,protein_coding
24423,CHPF2,ENSG00000033100,protein_coding
1967,LRRC7,ENSG00000033122,protein_coding
43065,FUT8,ENSG00000033170,protein_coding
13793,UBA6,ENSG00000033178,protein_coding
34055,GAB2,ENSG00000033327,protein_coding
50662,ATP6V0A1,ENSG00000033627,protein_coding
45546,PIAS1,ENSG00000033800,protein_coding
10034,SLC4A7,ENSG00000033867,protein_coding
44574,APBA2,ENSG00000034053,protein_coding
49874,MAP2K3,ENSG00000034152,protein_coding
27986,EFCAB1,ENSG00000034239,protein_coding
6870,TMSB10,ENSG00000034510,protein_coding
11692,ASTE1,ENSG00000034533,protein_coding
28762,RNF19A,ENSG00000034677,protein_coding
21074,PEX3,ENSG00000034693,protein_coding
48611,GABARAPL2,ENSG00000034713,protein_coding
3918,MYOC,ENSG00000034971,protein_coding
5473,SH3YL1,ENSG00000035115,protein_coding
6635,FAM136A,ENSG00000035141,protein_coding
36393,VCL,ENSG00000035403,protein_coding
16372,DEPDC1B,ENSG00000035499,protein_coding
45426,DAPK2,ENSG00000035664,protein_coding
28127,NSMAF,ENSG00000035681,protein_coding
5310,ADSS,ENSG00000035687,protein_coding
13791,STAP1,ENSG00000035720,protein_coding
51848,TIMP2,ENSG00000035862,protein_coding
13424,RFC1,ENSG00000035928,protein_coding
11143,TBC1D23,ENSG00000036054,protein_coding
9286,CUL3,ENSG00000036257,protein_coding
27028,MYOM2,ENSG00000036448,protein_coding
25003,OTC,ENSG00000036473,protein_coding
43711,CYP46A1,ENSG00000036530,protein_coding
2064,AC118549.1,ENSG00000036549,protein_coding
27442,SLC18A1,ENSG00000036565,protein_coding
34816,USP2,ENSG00000036672,protein_coding
11458,CASR,ENSG00000036828,protein_coding
50682,TUBG2,ENSG00000037042,protein_coding
18204,RPL26L1,ENSG00000037241,protein_coding
18434,FLT4,ENSG00000037280,protein_coding
15631,NSUN2,ENSG00000037474,protein_coding
552,FBXO42,ENSG00000037637,protein_coding
17954,MFAP3,ENSG00000037749,protein_coding
55512,MRI1,ENSG00000037757,protein_coding
39030,METTL1,ENSG00000037897,protein_coding
38808,HOXC8,ENSG00000037965,protein_coding
15300,AGA,ENSG00000038002,protein_coding
13294,PI4K2B,ENSG00000038210,protein_coding
13182,BOD1L1,ENSG00000038219,protein_coding
18090,MAT2B,ENSG00000038274,protein_coding
15172,TLL1,ENSG00000038295,protein_coding
48341,EDC4,ENSG00000038358,protein_coding
15757,TRIO,ENSG00000038382,protein_coding
16782,VCAN,ENSG00000038427,protein_coding
46928,CLEC16A,ENSG00000038532,protein_coding
27376,MSR1,ENSG00000038945,protein_coding
48395,CDH1,ENSG00000039068,protein_coding
16292,MTREX,ENSG00000039123,protein_coding
15755,DNAH5,ENSG00000039139,protein_coding
16728,ZFYVE16,ENSG00000039319,protein_coding
48319,RIPOR1,ENSG00000039523,protein_coding
16138,C6,ENSG00000039537,protein_coding
16028,RAI14,ENSG00000039560,protein_coding
18012,SOX30,ENSG00000039600,protein_coding
57069,PNKP,ENSG00000039650,protein_coding
55468,BEST2,ENSG00000039987,protein_coding
48503,PHLPP2,ENSG00000040199,protein_coding
18144,SPDL1,ENSG00000040275,protein_coding
28343,STAU2,ENSG00000040341,protein_coding
635,PQLC2,ENSG00000040487,protein_coding
49141,CTNS,ENSG00000040531,protein_coding
58498,RTN4R,ENSG00000040608,protein_coding
49299,PHF23,ENSG00000040633,protein_coding
15895,CDH10,ENSG00000040731,protein_coding
7257,INPP4A,ENSG00000040933,protein_coding
52907,RAB27B,ENSG00000041353,protein_coding
45844,PSMA4,ENSG00000041357,protein_coding
41811,MYO16,ENSG00000041515,protein_coding
12716,LSG1,ENSG00000041802,protein_coding
10600,PARP3,ENSG00000041880,protein_coding
31191,TNC,ENSG00000041982,protein_coding
258,THAP3,ENSG00000041988,protein_coding
54424,RIPOR3,ENSG00000042062,protein_coding
43512,TDP1,ENSG00000042088,protein_coding
36271,AIFM2,ENSG00000042286,protein_coding
9314,C2orf83,ENSG00000042304,protein_coding
43482,AL049834.1,ENSG00000042317,protein_coding
34325,MED17,ENSG00000042429,protein_coding
6885,RETSAT,ENSG00000042445,protein_coding
6891,CAPG,ENSG00000042493,protein_coding
56880,AP2S1,ENSG00000042753,protein_coding
