,name,ensg,type
20458,Hk2,ENSMUSG00000000628,protein_coding
38913,Myo18a,ENSMUSG00000000631,protein_coding
38917,Sez6,ENSMUSG00000000632,protein_coding
50913,Haao,ENSMUSG00000000673,protein_coding
14944,Cd52,ENSMUSG00000000682,protein_coding
38903,Abhd15,ENSMUSG00000000686,protein_coding
39385,Hoxb6,ENSMUSG00000000690,protein_coding
20471,Loxl3,ENSMUSG00000000693,protein_coding
44659,Tcl1b5,ENSMUSG00000000701,protein_coding
40831,Btn1a1,ENSMUSG00000000706,protein_coding
50445,Kat2b,ENSMUSG00000000708,protein_coding
29255,Rab5b,ENSMUSG00000000711,protein_coding
38911,Cryba1,ENSMUSG00000000724,protein_coding
28043,Dnmt3l,ENSMUSG00000000730,protein_coding
28042,Aire,ENSMUSG00000000731,protein_coding
28044,Icosl,ENSMUSG00000000732,protein_coding
31733,Spg7,ENSMUSG00000000738,protein_coding
31739,Sult5a1,ENSMUSG00000000739,protein_coding
31734,Rpl13,ENSMUSG00000000740,protein_coding
31742,Chmp1a,ENSMUSG00000000743,protein_coding
38835,Rpa1,ENSMUSG00000000751,protein_coding
38838,Serpinf1,ENSMUSG00000000753,protein_coding
29589,Tubgcp3,ENSMUSG00000000759,protein_coding
26782,Oprm1,ENSMUSG00000000766,protein_coding
33864,Polr3d,ENSMUSG00000000776,protein_coding
38084,Tcf7,ENSMUSG00000000782,protein_coding
7504,Ddx3x,ENSMUSG00000000787,protein_coding
30627,Il12rb1,ENSMUSG00000000791,protein_coding
30632,Slc5a5,ENSMUSG00000000792,protein_coding
11197,Kcnn3,ENSMUSG00000000794,protein_coding
39134,Usp32,ENSMUSG00000000804,protein_coding
39133,Car4,ENSMUSG00000000805,protein_coding
20722,Txnrd3,ENSMUSG00000000811,protein_coding
2689,Fasl,ENSMUSG00000000817,protein_coding
7234,Zfp512b,ENSMUSG00000000823,protein_coding
7231,Dnajc5,ENSMUSG00000000826,protein_coding
7229,Tpd52l2,ENSMUSG00000000827,protein_coding
8236,Fmr1,ENSMUSG00000000838,protein_coding
37655,Bcl11a,ENSMUSG00000000861,protein_coding
38113,Il4,ENSMUSG00000000869,protein_coding
6556,Pxmp4,ENSMUSG00000000876,protein_coding
8757,Dlg3,ENSMUSG00000000881,protein_coding
47498,Gnb1l,ENSMUSG00000000884,protein_coding
4062,Dbh,ENSMUSG00000000889,protein_coding
27951,Mmp11,ENSMUSG00000000901,protein_coding
27950,Smarcb1,ENSMUSG00000000902,protein_coding
27954,Vpreb3,ENSMUSG00000000903,protein_coding
18111,Hip1r,ENSMUSG00000000915,protein_coding
18361,Nsun5,ENSMUSG00000000916,protein_coding
46200,Top1mt,ENSMUSG00000000934,protein_coding
19775,Hoxa10,ENSMUSG00000000938,protein_coding
19769,Hoxa4,ENSMUSG00000000942,protein_coding
24497,Gm38393,ENSMUSG00000000948,protein_coding
33404,Mmp14,ENSMUSG00000000957,protein_coding
33402,Slc7a7,ENSMUSG00000000958,protein_coding
33401,Oxa1l,ENSMUSG00000000959,protein_coding
39107,Heatr6,ENSMUSG00000000976,protein_coding
39097,Ccl3,ENSMUSG00000000982,protein_coding
39105,Wfdc18,ENSMUSG00000000983,protein_coding
34763,Icam4,ENSMUSG00000001014,protein_coding
11239,Ilf2,ENSMUSG00000001016,protein_coding
11241,Chtop,ENSMUSG00000001017,protein_coding
11240,Snapin,ENSMUSG00000001018,protein_coding
11251,S100a4,ENSMUSG00000001020,protein_coding
11249,S100a3,ENSMUSG00000001021,protein_coding
11252,S100a5,ENSMUSG00000001023,protein_coding
11253,S100a6,ENSMUSG00000001025,protein_coding
39863,Scn4a,ENSMUSG00000001027,protein_coding
39865,Icam2,ENSMUSG00000001029,protein_coding
38381,Mapk7,ENSMUSG00000001034,protein_coding
38384,Epn2,ENSMUSG00000001036,protein_coding
38383,B9d1,ENSMUSG00000001039,protein_coding
12289,Sec24b,ENSMUSG00000001052,protein_coding
38059,N4bp3,ENSMUSG00000001053,protein_coding
38058,Rmnd5b,ENSMUSG00000001054,protein_coding
38057,Nhp2,ENSMUSG00000001056,protein_coding
31749,Vps9d1,ENSMUSG00000001062,protein_coding
31750,Zfp276,ENSMUSG00000001065,protein_coding
46901,C1ql4,ENSMUSG00000001076,protein_coding
16301,Mfsd10,ENSMUSG00000001082,protein_coding
15032,Luzp1,ENSMUSG00000001089,protein_coding
38950,Slc13a2,ENSMUSG00000001095,protein_coding
17784,Kctd10,ENSMUSG00000001098,protein_coding
38957,Poldip2,ENSMUSG00000001100,protein_coding
38955,Sebox,ENSMUSG00000001103,protein_coding
38959,Ift20,ENSMUSG00000001105,protein_coding
27984,Col6a1,ENSMUSG00000001119,protein_coding
27986,Pcbp3,ENSMUSG00000001120,protein_coding
38972,Lgals9,ENSMUSG00000001123,protein_coding
7581,Araf,ENSMUSG00000001127,protein_coding
7589,Cfp,ENSMUSG00000001128,protein_coding
7587,Timp1,ENSMUSG00000001131,protein_coding
7591,Uxt,ENSMUSG00000001134,protein_coding
515,Cnnm3,ENSMUSG00000001138,protein_coding
511,Lman2l,ENSMUSG00000001143,protein_coding
27976,Mcm3ap,ENSMUSG00000001150,protein_coding
27971,Pcnt,ENSMUSG00000001151,protein_coding
27981,Ftcd,ENSMUSG00000001155,protein_coding
20620,Mxd1,ENSMUSG00000001156,protein_coding
20624,Gmcl1,ENSMUSG00000001157,protein_coding
20622,Snrnp27,ENSMUSG00000001158,protein_coding
17975,Oas1c,ENSMUSG00000001166,protein_coding
17979,Oas1h,ENSMUSG00000001168,protein_coding
7925,Ocrl,ENSMUSG00000001173,protein_coding
44510,Calm1,ENSMUSG00000001175,protein_coding
28051,Agpat3,ENSMUSG00000001211,protein_coding
43341,Slc26a3,ENSMUSG00000001225,protein_coding
50507,Sema6b,ENSMUSG00000001227,protein_coding
50519,Uhrf1,ENSMUSG00000001228,protein_coding
50511,Dpp9,ENSMUSG00000001229,protein_coding
39664,Ramp2,ENSMUSG00000001240,protein_coding
23418,Lsr,ENSMUSG00000001247,protein_coding
23428,Gramd1a,ENSMUSG00000001248,protein_coding
23426,Hpn,ENSMUSG00000001249,protein_coding
16874,Gabrg1,ENSMUSG00000001260,protein_coding
44902,Ckb,ENSMUSG00000001270,protein_coding
47074,Sp1,ENSMUSG00000001280,protein_coding
47061,Itgb7,ENSMUSG00000001281,protein_coding
47069,Myg1,ENSMUSG00000001285,protein_coding
47062,Rarg,ENSMUSG00000001288,protein_coding
47068,Pfdn5,ENSMUSG00000001289,protein_coding
29488,Efnb2,ENSMUSG00000001300,protein_coding
3287,Rrp15,ENSMUSG00000001305,protein_coding
39690,Rnd2,ENSMUSG00000001313,protein_coding
38821,Srr,ENSMUSG00000001323,protein_coding
14772,Sync,ENSMUSG00000001333,protein_coding
14766,Fndc5,ENSMUSG00000001334,protein_coding
34830,Acp5,ENSMUSG00000001348,protein_coding
34826,Cnn1,ENSMUSG00000001349,protein_coding
36165,Fbxo9,ENSMUSG00000001366,protein_coding
18901,Vps50,ENSMUSG00000001376,protein_coding
53140,Hars,ENSMUSG00000001380,protein_coding
53142,Zmat2,ENSMUSG00000001383,protein_coding
6839,Ube2c,ENSMUSG00000001403,protein_coding
11111,Smg5,ENSMUSG00000001415,protein_coding
11108,Cct3,ENSMUSG00000001416,protein_coding
11109,Glmp,ENSMUSG00000001418,protein_coding
11096,Mef2d,ENSMUSG00000001419,protein_coding
11110,Tmem79,ENSMUSG00000001420,protein_coding
19185,Snd1,ENSMUSG00000001424,protein_coding
27992,Col18a1,ENSMUSG00000001435,protein_coding
27991,Slc19a1,ENSMUSG00000001436,protein_coding
39427,Kpnb1,ENSMUSG00000001440,protein_coding
39429,Npepps,ENSMUSG00000001441,protein_coding
39423,Tbx21,ENSMUSG00000001444,protein_coding
39418,Mrpl10,ENSMUSG00000001445,protein_coding
15669,Cyp51,ENSMUSG00000001467,protein_coding
31753,Tcf25,ENSMUSG00000001472,protein_coding
53723,Tubb6,ENSMUSG00000001473,protein_coding
31757,Def8,ENSMUSG00000001482,protein_coding
39706,Meox1,ENSMUSG00000001493,protein_coding
39710,Sost,ENSMUSG00000001494,protein_coding
43678,Nkx2-1,ENSMUSG00000001496,protein_coding
43687,Pax9,ENSMUSG00000001497,protein_coding
42066,Irx2,ENSMUSG00000001504,protein_coding
39322,Col1a1,ENSMUSG00000001506,protein_coding
39330,Itga3,ENSMUSG00000001507,protein_coding
39324,Sgca,ENSMUSG00000001508,protein_coding
39331,Dlx3,ENSMUSG00000001510,protein_coding
21485,Foxm1,ENSMUSG00000001517,protein_coding
21491,Itfg2,ENSMUSG00000001518,protein_coding
21490,Nrip2,ENSMUSG00000001520,protein_coding
21480,Tulp3,ENSMUSG00000001521,protein_coding
49935,Gtf2h4,ENSMUSG00000001524,protein_coding
49944,Tubb5,ENSMUSG00000001525,protein_coding
42134,Ell2,ENSMUSG00000001542,protein_coding
39620,Jup,ENSMUSG00000001552,protein_coding
39623,Fkbp10,ENSMUSG00000001555,protein_coding
39625,Klhl10,ENSMUSG00000001558,protein_coding
16112,Mnx1,ENSMUSG00000001566,protein_coding
16111,Nom1,ENSMUSG00000001569,protein_coding
49434,Ergic1,ENSMUSG00000001576,protein_coding
38591,Tnk1,ENSMUSG00000001583,protein_coding
38594,Acap1,ENSMUSG00000001588,protein_coding
15025,Tcea3,ENSMUSG00000001604,protein_coding
17139,Csn3,ENSMUSG00000001622,protein_coding
43475,Ifrd1,ENSMUSG00000001627,protein_coding
21943,Stk38l,ENSMUSG00000001630,protein_coding
21034,Brpf1,ENSMUSG00000001632,protein_coding
19303,Akr1b3,ENSMUSG00000001642,protein_coding
47095,Hoxc13,ENSMUSG00000001655,protein_coding
47102,Hoxc11,ENSMUSG00000001656,protein_coding
47107,Hoxc8,ENSMUSG00000001657,protein_coding
47108,Hoxc6,ENSMUSG00000001661,protein_coding
27944,Gstt1,ENSMUSG00000001663,protein_coding
27943,Gstt3,ENSMUSG00000001665,protein_coding
27941,Ddt,ENSMUSG00000001666,protein_coding
31482,Tat,ENSMUSG00000001670,protein_coding
31480,Marveld3,ENSMUSG00000001672,protein_coding
1979,Ddx18,ENSMUSG00000001674,protein_coding
18786,Ubl3,ENSMUSG00000001687,protein_coding
53493,Gramd3,ENSMUSG00000001700,protein_coding
41194,Eef1e1,ENSMUSG00000001707,protein_coding
44935,Akt1,ENSMUSG00000001729,protein_coding
18415,Cldn15,ENSMUSG00000001739,protein_coding
24969,Il16,ENSMUSG00000001741,protein_coding
54088,Tcirg1,ENSMUSG00000001750,protein_coding
39651,Naglu,ENSMUSG00000001751,protein_coding
39653,Coasy,ENSMUSG00000001755,protein_coding
19218,Smo,ENSMUSG00000001761,protein_coding
19217,Tspan33,ENSMUSG00000001763,protein_coding
6323,Crnkl1,ENSMUSG00000001767,protein_coding
6318,Rin2,ENSMUSG00000001768,protein_coding
25070,Folh1,ENSMUSG00000001773,protein_coding
34651,Chordc1,ENSMUSG00000001774,protein_coding
28388,Rtcb,ENSMUSG00000001783,protein_coding
28383,Pwp1,ENSMUSG00000001785,protein_coding
28392,Fbxo7,ENSMUSG00000001786,protein_coding
23342,Capns1,ENSMUSG00000001794,protein_coding
23598,Lrp3,ENSMUSG00000001802,protein_coding
52892,Dsg4,ENSMUSG00000001804,protein_coding
4844,Evx2,ENSMUSG00000001815,protein_coding
4845,Hoxd13,ENSMUSG00000001819,protein_coding
4846,Hoxd12,ENSMUSG00000001823,protein_coding
25368,Folr1,ENSMUSG00000001827,protein_coding
25361,Clpb,ENSMUSG00000001829,protein_coding
34886,Sept7,ENSMUSG00000001833,protein_coding
18633,Zdhhc4,ENSMUSG00000001844,protein_coding
18645,Rac1,ENSMUSG00000001847,protein_coding
4201,Nup214,ENSMUSG00000001855,protein_coding
4199,Aif1l,ENSMUSG00000001864,protein_coding
10078,Cpa3,ENSMUSG00000001865,protein_coding
50806,Ltbp1,ENSMUSG00000001870,protein_coding
37595,Ugp2,ENSMUSG00000001891,protein_coding
39843,Kcnh6,ENSMUSG00000001901,protein_coding
30938,Trmt1,ENSMUSG00000001909,protein_coding
30937,Nacc1,ENSMUSG00000001910,protein_coding
30939,Nfix,ENSMUSG00000001911,protein_coding
22684,Slc1a5,ENSMUSG00000001918,protein_coding
7578,Uba1,ENSMUSG00000001924,protein_coding
21412,Vwf,ENSMUSG00000001930,protein_coding
35097,Siae,ENSMUSG00000001942,protein_coding
35095,Vsig2,ENSMUSG00000001943,protein_coding
35094,Esam,ENSMUSG00000001946,protein_coding
35098,Spa17,ENSMUSG00000001948,protein_coding
8380,Fam50a,ENSMUSG00000001962,protein_coding
8370,Emd,ENSMUSG00000001964,protein_coding
39847,Taco1,ENSMUSG00000001983,protein_coding
14680,Grik3,ENSMUSG00000001985,protein_coding
7874,Gria3,ENSMUSG00000001986,protein_coding
22668,Npas1,ENSMUSG00000001988,protein_coding
31862,Sipa1l2,ENSMUSG00000001995,protein_coding
6002,Ap4e1,ENSMUSG00000001998,protein_coding
6004,Blvra,ENSMUSG00000001999,protein_coding
8350,Pdzd4,ENSMUSG00000002006,protein_coding
8347,Srpk3,ENSMUSG00000002007,protein_coding
8348,Idh3g,ENSMUSG00000002010,protein_coding
8341,Pnck,ENSMUSG00000002012,protein_coding
8349,Ssr4,ENSMUSG00000002014,protein_coding
8343,Bcap31,ENSMUSG00000002015,protein_coding
50809,Fam98a,ENSMUSG00000002017,protein_coding
44194,Ltbp2,ENSMUSG00000002020,protein_coding
35420,Kmt2a,ENSMUSG00000002028,protein_coding
35416,Ift46,ENSMUSG00000002031,protein_coding
35417,Tmem25,ENSMUSG00000002032,protein_coding
35428,Cd3g,ENSMUSG00000002033,protein_coding
22815,Trappc6a,ENSMUSG00000002043,protein_coding
38938,Supt6,ENSMUSG00000002052,protein_coding
38944,Spag5,ENSMUSG00000002055,protein_coding
38948,Foxn1,ENSMUSG00000002057,protein_coding
38947,Unc119,ENSMUSG00000002058,protein_coding
38936,Rab34,ENSMUSG00000002059,protein_coding
38939,Sdf2,ENSMUSG00000002064,protein_coding
23648,Ccne1,ENSMUSG00000002068,protein_coding
49666,Hsf2bp,ENSMUSG00000002076,protein_coding
22661,Bbc3,ENSMUSG00000002083,protein_coding
5385,Mybpc3,ENSMUSG00000002100,protein_coding
5382,Psmc3,ENSMUSG00000002102,protein_coding
5390,Acp2,ENSMUSG00000002103,protein_coding
5380,Rapsn,ENSMUSG00000002104,protein_coding
5383,Slc39a13,ENSMUSG00000002105,protein_coding
3523,Celf2,ENSMUSG00000002107,protein_coding
5387,Nr1h3,ENSMUSG00000002108,protein_coding
5391,Ddb2,ENSMUSG00000002109,protein_coding
5384,Spi1,ENSMUSG00000002111,protein_coding
37352,Sf3a1,ENSMUSG00000002129,protein_coding
29173,Stat6,ENSMUSG00000002147,protein_coding
30872,Clgn,ENSMUSG00000002190,protein_coding
23930,Napsa,ENSMUSG00000002204,protein_coding
23939,Vrk3,ENSMUSG00000002205,protein_coding
23053,Smg9,ENSMUSG00000002210,protein_coding
16086,Paxip1,ENSMUSG00000002221,protein_coding
20305,Rmnd5a,ENSMUSG00000002222,protein_coding
11810,Mov10,ENSMUSG00000002227,protein_coding
11808,Ppm1j,ENSMUSG00000002228,protein_coding
11809,Rhoc,ENSMUSG00000002233,protein_coding
17133,Prr27,ENSMUSG00000002240,protein_coding
49520,Tead3,ENSMUSG00000002249,protein_coding
49515,Ppard,ENSMUSG00000002250,protein_coding
49513,Def6,ENSMUSG00000002257,protein_coding
22226,Peg3,ENSMUSG00000002265,protein_coding
22225,Zim1,ENSMUSG00000002266,protein_coding
49382,Metrn,ENSMUSG00000002274,protein_coding
49364,Lmf1,ENSMUSG00000002279,protein_coding
49376,Narfl,ENSMUSG00000002280,protein_coding
49743,Angptl4,ENSMUSG00000002289,protein_coding
15728,Dbf4,ENSMUSG00000002297,protein_coding
49755,Daxx,ENSMUSG00000002307,protein_coding
49748,Cd320,ENSMUSG00000002308,protein_coding
33482,Ipo4,ENSMUSG00000002319,protein_coding
33484,Tm9sf1,ENSMUSG00000002320,protein_coding
33481,Rec8,ENSMUSG00000002324,protein_coding
33480,Irf9,ENSMUSG00000002325,protein_coding
33490,Gmpr2,ENSMUSG00000002326,protein_coding
33488,Mdp1,ENSMUSG00000002329,protein_coding
33496,Dhrs1,ENSMUSG00000002332,protein_coding
30579,Ncan,ENSMUSG00000002341,protein_coding
30586,Tmem161a,ENSMUSG00000002342,protein_coding
30588,Armc6,ENSMUSG00000002343,protein_coding
30584,Borcs8,ENSMUSG00000002345,protein_coding
30587,Slc25a42,ENSMUSG00000002346,protein_coding
48796,Snx9,ENSMUSG00000002365,protein_coding
50531,Ranbp3,ENSMUSG00000002372,protein_coding
50533,Ndufa11,ENSMUSG00000002379,protein_coding
14608,Bmp8b,ENSMUSG00000002384,protein_coding
30647,Nr2f6,ENSMUSG00000002393,protein_coding
30645,Use1,ENSMUSG00000002395,protein_coding
30646,Ocel1,ENSMUSG00000002396,protein_coding
23231,Dyrk1b,ENSMUSG00000002409,protein_coding
19399,Braf,ENSMUSG00000002413,protein_coding
19398,Ndufb2,ENSMUSG00000002416,protein_coding
10076,Hltf,ENSMUSG00000002428,protein_coding
7236,Prpf6,ENSMUSG00000002455,protein_coding
7242,Rgs19,ENSMUSG00000002458,protein_coding
38,Rgs20,ENSMUSG00000002459,protein_coding
52785,Abhd3,ENSMUSG00000002475,protein_coding
52784,Snrpd1,ENSMUSG00000002477,protein_coding
17793,Tchp,ENSMUSG00000002486,protein_coding
48560,Tiam1,ENSMUSG00000002489,protein_coding
49300,Tsc2,ENSMUSG00000002496,protein_coding
49315,Rpl3l,ENSMUSG00000002500,protein_coding
49302,Slc9a3r2,ENSMUSG00000002504,protein_coding
46224,Puf60,ENSMUSG00000002524,protein_coding
4217,Golga2,ENSMUSG00000002546,protein_coding
4214,Uck1,ENSMUSG00000002550,protein_coding
43472,Scin,ENSMUSG00000002565,protein_coding
29251,Ikzf4,ENSMUSG00000002578,protein_coding
39489,Mien1,ENSMUSG00000002580,protein_coding
18936,Pon1,ENSMUSG00000002588,protein_coding
23131,Axl,ENSMUSG00000002602,protein_coding
23128,Tgfb1,ENSMUSG00000002603,protein_coding
23129,Ccdc97,ENSMUSG00000002608,protein_coding
49205,Zfp40,ENSMUSG00000002617,protein_coding
49679,Akap8l,ENSMUSG00000002625,protein_coding
16100,Shh,ENSMUSG00000002633,protein_coding
23563,Pdcd2l,ENSMUSG00000002635,protein_coding
50547,Gtf2f1,ENSMUSG00000002658,protein_coding
50544,Clpp,ENSMUSG00000002660,protein_coding
50545,Alkbh7,ENSMUSG00000002661,protein_coding
50546,Pspn,ENSMUSG00000002664,protein_coding
50554,Dennd1c,ENSMUSG00000002668,protein_coding
44116,Med6,ENSMUSG00000002679,protein_coding
43566,Prkd1,ENSMUSG00000002688,protein_coding
37799,Lcp2,ENSMUSG00000002699,protein_coding
6895,Cse1l,ENSMUSG00000002718,protein_coding
6322,Naa20,ENSMUSG00000002728,protein_coding
4897,Prkra,ENSMUSG00000002731,protein_coding
4899,Fkbp7,ENSMUSG00000002732,protein_coding
4900,Plekha3,ENSMUSG00000002733,protein_coding
37408,Ykt6,ENSMUSG00000002741,protein_coding
18355,Baz1b,ENSMUSG00000002748,protein_coding
50315,Pex6,ENSMUSG00000002763,protein_coding
50309,Mrpl2,ENSMUSG00000002767,protein_coding
50313,Mea1,ENSMUSG00000002768,protein_coding
50316,Gnmt,ENSMUSG00000002769,protein_coding
24049,Grin2d,ENSMUSG00000002771,protein_coding
24050,Kdelr1,ENSMUSG00000002778,protein_coding
24053,Tmem143,ENSMUSG00000002781,protein_coding
19839,Ggct,ENSMUSG00000002797,protein_coding
44949,Jag2,ENSMUSG00000002799,protein_coding
44955,Btbd6,ENSMUSG00000002803,protein_coding
44951,Nudt14,ENSMUSG00000002804,protein_coding
40631,Epdr1,ENSMUSG00000002808,protein_coding
38351,Flii,ENSMUSG00000002812,protein_coding
38355,Top3a,ENSMUSG00000002814,protein_coding
34781,Atg4d,ENSMUSG00000002820,protein_coding
34790,Qtrt1,ENSMUSG00000002825,protein_coding
50504,Plin4,ENSMUSG00000002831,protein_coding
50503,Hdgfl2,ENSMUSG00000002833,protein_coding
50501,Chaf1a,ENSMUSG00000002835,protein_coding
47975,Adprh,ENSMUSG00000002844,protein_coding
47981,Tmem39a,ENSMUSG00000002845,protein_coding
47978,Timmdc1,ENSMUSG00000002846,protein_coding
47974,Pla1a,ENSMUSG00000002847,protein_coding
20706,Mcm2,ENSMUSG00000002870,protein_coding
20707,Tpra1,ENSMUSG00000002871,protein_coding
780,Nab1,ENSMUSG00000002881,protein_coding
30888,Adgre5,ENSMUSG00000002885,protein_coding
21209,Il17ra,ENSMUSG00000002897,protein_coding
43339,Lamb1,ENSMUSG00000002900,protein_coding
30629,Kcnn1,ENSMUSG00000002908,protein_coding
30628,Arrdc2,ENSMUSG00000002910,protein_coding
19855,Ppp1r17,ENSMUSG00000002930,protein_coding
15892,Cd36,ENSMUSG00000002944,protein_coding
29422,Map2k7,ENSMUSG00000002948,protein_coding
29427,Timm44,ENSMUSG00000002949,protein_coding
26600,Ap2a2,ENSMUSG00000002957,protein_coding
23947,Pnkp,ENSMUSG00000002963,protein_coding
23949,Med25,ENSMUSG00000002968,protein_coding
22832,Bcam,ENSMUSG00000002980,protein_coding
22823,Clptm1,ENSMUSG00000002981,protein_coding
22822,Relb,ENSMUSG00000002983,protein_coding
22829,Tomm40,ENSMUSG00000002984,protein_coding
22828,Apoe,ENSMUSG00000002985,protein_coding
22824,Apoc2,ENSMUSG00000002992,protein_coding
43356,Hbp1,ENSMUSG00000002996,protein_coding
43357,Prkar2b,ENSMUSG00000002997,protein_coding
21742,Cdkn1b,ENSMUSG00000003031,protein_coding
13537,Klf4,ENSMUSG00000003032,protein_coding
30704,Ap1m1,ENSMUSG00000003033,protein_coding
30699,Rab8a,ENSMUSG00000003037,protein_coding
14938,Hmgn2,ENSMUSG00000003038,protein_coding
30703,Fam32a,ENSMUSG00000003039,protein_coding
